mcdi_complexity_raw,gender,age,mcdi_complexity_inter_ptile_within,mcdi_complexity_inter_ptile_both
0,F,16,85,85
1,F,16,90,90
2,F,16,91.667,91.667
3,F,16,93.333,93.333
4,F,16,95,95
5,F,16,95.625,95.5
6,F,16,96.25,96
7,F,16,96.875,96.5
8,F,16,97.5,97
9,F,16,98.125,97.5
10,F,16,98.75,98
11,F,16,99.375,98.5
12,F,16,>99,99
13,F,16,>99,99.5
14,F,16,>99,>99
15,F,16,>99,>99
16,F,16,>99,>99
17,F,16,>99,>99
18,F,16,>99,>99
19,F,16,>99,>99
20,F,16,>99,>99
21,F,16,>99,>99
22,F,16,>99,>99
23,F,16,>99,>99
24,F,16,>99,>99
25,F,16,>99,>99
26,F,16,>99,>99
27,F,16,>99,>99
28,F,16,>99,>99
29,F,16,>99,>99
30,F,16,>99,>99
31,F,16,>99,>99
32,F,16,>99,>99
33,F,16,>99,>99
34,F,16,>99,>99
35,F,16,>99,>99
36,F,16,>99,>99
37,F,16,>99,>99
0,F,17,75,85
1,F,17,90,90
2,F,17,91,91.25
3,F,17,92,92.5
4,F,17,93,93.75
5,F,17,94,95
6,F,17,95,95.385
7,F,17,95.556,95.769
8,F,17,96.111,96.154
9,F,17,96.667,96.538
10,F,17,97.222,96.923
11,F,17,97.778,97.308
12,F,17,98.333,97.692
13,F,17,98.889,98.077
14,F,17,99.444,98.462
15,F,17,>99,98.846
16,F,17,>99,99.231
17,F,17,>99,99.615
18,F,17,>99,>99
19,F,17,>99,>99
20,F,17,>99,>99
21,F,17,>99,>99
22,F,17,>99,>99
23,F,17,>99,>99
24,F,17,>99,>99
25,F,17,>99,>99
26,F,17,>99,>99
27,F,17,>99,>99
28,F,17,>99,>99
29,F,17,>99,>99
30,F,17,>99,>99
31,F,17,>99,>99
32,F,17,>99,>99
33,F,17,>99,>99
34,F,17,>99,>99
35,F,17,>99,>99
36,F,17,>99,>99
37,F,17,>99,>99
0,F,18,75,80
1,F,18,85,85
2,F,18,90,90
3,F,18,90.714,90.833
4,F,18,91.429,91.667
5,F,18,92.143,92.5
6,F,18,92.857,93.333
7,F,18,93.571,94.167
8,F,18,94.286,95
9,F,18,95,95.385
10,F,18,95.556,95.769
11,F,18,96.111,96.154
12,F,18,96.667,96.538
13,F,18,97.222,96.923
14,F,18,97.778,97.308
15,F,18,98.333,97.692
16,F,18,98.889,98.077
17,F,18,99.444,98.462
18,F,18,>99,98.846
19,F,18,>99,99.231
20,F,18,>99,99.615
21,F,18,>99,>99
22,F,18,>99,>99
23,F,18,>99,>99
24,F,18,>99,>99
25,F,18,>99,>99
26,F,18,>99,>99
27,F,18,>99,>99
28,F,18,>99,>99
29,F,18,>99,>99
30,F,18,>99,>99
31,F,18,>99,>99
32,F,18,>99,>99
33,F,18,>99,>99
34,F,18,>99,>99
35,F,18,>99,>99
36,F,18,>99,>99
37,F,18,>99,>99
0,F,19,70,75
1,F,19,75,85
2,F,19,80,87.5
3,F,19,85,90
4,F,19,90,90.625
5,F,19,90.625,91.25
6,F,19,91.25,91.875
7,F,19,91.875,92.5
8,F,19,92.5,93.125
9,F,19,93.125,93.75
10,F,19,93.75,94.375
11,F,19,94.375,95
12,F,19,95,95.385
13,F,19,95.5,95.769
14,F,19,96,96.154
15,F,19,96.5,96.538
16,F,19,97,96.923
17,F,19,97.5,97.308
18,F,19,98,97.692
19,F,19,98.5,98.077
20,F,19,99,98.462
21,F,19,99.5,98.846
22,F,19,>99,99.231
23,F,19,>99,99.615
24,F,19,>99,>99
25,F,19,>99,>99
26,F,19,>99,>99
27,F,19,>99,>99
28,F,19,>99,>99
29,F,19,>99,>99
30,F,19,>99,>99
31,F,19,>99,>99
32,F,19,>99,>99
33,F,19,>99,>99
34,F,19,>99,>99
35,F,19,>99,>99
36,F,19,>99,>99
37,F,19,>99,>99
0,F,20,60,65
1,F,20,70,80
2,F,20,75,85
3,F,20,80,86.667
4,F,20,82.5,88.333
5,F,20,85,90
6,F,20,90,90.5
7,F,20,90.455,91
8,F,20,90.909,91.5
9,F,20,91.364,92
10,F,20,91.818,92.5
11,F,20,92.273,93
12,F,20,92.727,93.5
13,F,20,93.182,94
14,F,20,93.636,94.5
15,F,20,94.091,95
16,F,20,94.545,95.417
17,F,20,95,95.833
18,F,20,95.556,96.25
19,F,20,96.111,96.667
20,F,20,96.667,97.083
21,F,20,97.222,97.5
22,F,20,97.778,97.917
23,F,20,98.333,98.333
24,F,20,98.889,98.75
25,F,20,99.444,99.167
26,F,20,>99,99.583
27,F,20,>99,>99
28,F,20,>99,>99
29,F,20,>99,>99
30,F,20,>99,>99
31,F,20,>99,>99
32,F,20,>99,>99
33,F,20,>99,>99
34,F,20,>99,>99
35,F,20,>99,>99
36,F,20,>99,>99
37,F,20,>99,>99
0,F,21,50,55
1,F,21,70,75
2,F,21,72.5,77.5
3,F,21,75,80
4,F,21,77.5,85
5,F,21,80,86.25
6,F,21,81.667,87.5
7,F,21,83.333,88.75
8,F,21,85,90
9,F,21,87.5,90.417
10,F,21,90,90.833
11,F,21,90.455,91.25
12,F,21,90.909,91.667
13,F,21,91.364,92.083
14,F,21,91.818,92.5
15,F,21,92.273,92.917
16,F,21,92.727,93.333
17,F,21,93.182,93.75
18,F,21,93.636,94.167
19,F,21,94.091,94.583
20,F,21,94.545,95
21,F,21,95,95.5
22,F,21,95.625,96
23,F,21,96.25,96.5
24,F,21,96.875,97
25,F,21,97.5,97.5
26,F,21,98.125,98
27,F,21,98.75,98.5
28,F,21,99.375,99
29,F,21,>99,99.5
30,F,21,>99,>99
31,F,21,>99,>99
32,F,21,>99,>99
33,F,21,>99,>99
34,F,21,>99,>99
35,F,21,>99,>99
36,F,21,>99,>99
37,F,21,>99,>99
0,F,22,35,45
1,F,22,55,60
2,F,22,65,70
3,F,22,70,75
4,F,22,72.5,77.5
5,F,22,75,80
6,F,22,76.25,85
7,F,22,77.5,85.714
8,F,22,78.75,86.429
9,F,22,80,87.143
10,F,22,81.667,87.857
11,F,22,83.333,88.571
12,F,22,85,89.286
13,F,22,86.25,90
14,F,22,87.5,90.455
15,F,22,88.75,90.909
16,F,22,90,91.364
17,F,22,90.5,91.818
18,F,22,91,92.273
19,F,22,91.5,92.727
20,F,22,92,93.182
21,F,22,92.5,93.636
22,F,22,93,94.091
23,F,22,93.5,94.545
24,F,22,94,95
25,F,22,94.5,95.625
26,F,22,95,96.25
27,F,22,96,96.875
28,F,22,97,97.5
29,F,22,98,98.125
30,F,22,99,98.75
31,F,22,>99,99.375
32,F,22,>99,>99
33,F,22,>99,>99
34,F,22,>99,>99
35,F,22,>99,>99
36,F,22,>99,>99
37,F,22,>99,>99
0,F,23,30,35
1,F,23,40,50
2,F,23,55,55
3,F,23,57.5,65
4,F,23,60,70
5,F,23,65,75
6,F,23,70,76.667
7,F,23,71.667,78.333
8,F,23,73.333,80
9,F,23,75,81.667
10,F,23,76,83.333
11,F,23,77,85
12,F,23,78,85.714
13,F,23,79,86.429
14,F,23,80,87.143
15,F,23,81.667,87.857
16,F,23,83.333,88.571
17,F,23,85,89.286
18,F,23,86,90
19,F,23,87,90.5
20,F,23,88,91
21,F,23,89,91.5
22,F,23,90,92
23,F,23,90.714,92.5
24,F,23,91.429,93
25,F,23,92.143,93.5
26,F,23,92.857,94
27,F,23,93.571,94.5
28,F,23,94.286,95
29,F,23,95,95.833
30,F,23,96.25,96.667
31,F,23,97.5,97.5
32,F,23,98.75,98.333
33,F,23,99,99.167
34,F,23,>99,>99
35,F,23,>99,>99
36,F,23,>99,>99
37,F,23,>99,>99
0,F,24,20,25
1,F,24,35,40
2,F,24,40,50
3,F,24,45,52.5
4,F,24,50,55
5,F,24,55,60
6,F,24,57.5,65
7,F,24,60,67.5
8,F,24,65,70
9,F,24,67.5,75
10,F,24,70,76.25
11,F,24,71,77.5
12,F,24,72,78.75
13,F,24,73,80
14,F,24,74,81.25
15,F,24,75,82.5
16,F,24,76.25,83.75
17,F,24,77.5,85
18,F,24,78.75,85.714
19,F,24,80,86.429
20,F,24,81.25,87.143
21,F,24,82.5,87.857
22,F,24,83.75,88.571
23,F,24,85,89.286
24,F,24,86.25,90
25,F,24,87.5,90.714
26,F,24,88.75,91.429
27,F,24,90,92.143
28,F,24,91,92.857
29,F,24,92,93.571
30,F,24,93,94.286
31,F,24,94,95
32,F,24,95,96.25
33,F,24,96.667,97.5
34,F,24,98.333,98.75
35,F,24,99,99
36,F,24,>99,>99
37,F,24,>99,>99
0,F,25,15,20
1,F,25,25,30
2,F,25,30,35
3,F,25,35,40
4,F,25,37.5,45
5,F,25,40,50
6,F,25,45,52.5
7,F,25,50,55
8,F,25,52.5,57.5
9,F,25,55,60
10,F,25,56.667,62.5
11,F,25,58.333,65
12,F,25,60,67.5
13,F,25,62.5,70
14,F,25,65,72.5
15,F,25,67.5,75
16,F,25,70,76.25
17,F,25,71,77.5
18,F,25,72,78.75
19,F,25,73,80
20,F,25,74,81.25
21,F,25,75,82.5
22,F,25,76.25,83.75
23,F,25,77.5,85
24,F,25,78.75,85.833
25,F,25,80,86.667
26,F,25,81.667,87.5
27,F,25,83.333,88.333
28,F,25,85,89.167
29,F,25,86.667,90
30,F,25,88.333,91
31,F,25,90,92
32,F,25,91.667,93
33,F,25,93.333,94
34,F,25,95,95
35,F,25,97.5,97.5
36,F,25,99,99
37,F,25,>99,>99
0,F,26,10,15
1,F,26,20,20
2,F,26,22.5,30
3,F,26,25,32.5
4,F,26,30,35
5,F,26,32.5,40
6,F,26,35,42.5
7,F,26,36.667,45
8,F,26,38.333,47.5
9,F,26,40,50
10,F,26,42.5,52.5
11,F,26,45,55
12,F,26,47.5,56.25
13,F,26,50,57.5
14,F,26,55,58.75
15,F,26,56.25,60
16,F,26,57.5,62.5
17,F,26,58.75,65
18,F,26,60,67.5
19,F,26,62.5,70
20,F,26,65,71.667
21,F,26,66.667,73.333
22,F,26,68.333,75
23,F,26,70,76.25
24,F,26,71.25,77.5
25,F,26,72.5,78.75
26,F,26,73.75,80
27,F,26,75,82.5
28,F,26,76.667,85
29,F,26,78.333,86.25
30,F,26,80,87.5
31,F,26,82.5,88.75
32,F,26,85,90
33,F,26,87.5,91.667
34,F,26,90,93.333
35,F,26,95,95
36,F,26,99,99
37,F,26,>99,>99
0,F,27,10,10
1,F,27,15,20
2,F,27,20,22.5
3,F,27,21.667,25
4,F,27,23.333,30
5,F,27,25,31.667
6,F,27,26.667,33.333
7,F,27,28.333,35
8,F,27,30,37.5
9,F,27,31.667,40
10,F,27,33.333,41.667
11,F,27,35,43.333
12,F,27,36.25,45
13,F,27,37.5,46.667
14,F,27,38.75,48.333
15,F,27,40,50
16,F,27,42.5,51.667
17,F,27,45,53.333
18,F,27,47.5,55
19,F,27,50,56.667
20,F,27,52.5,58.333
21,F,27,55,60
22,F,27,56.25,62.5
23,F,27,57.5,65
24,F,27,58.75,66.667
25,F,27,60,68.333
26,F,27,62.5,70
27,F,27,65,72.5
28,F,27,67.5,75
29,F,27,70,77.5
30,F,27,72.5,80
31,F,27,75,82.5
32,F,27,77.5,85
33,F,27,80,86.667
34,F,27,85,88.333
35,F,27,87.5,90
36,F,27,95,95
37,F,27,99,99
0,F,28,5,10
1,F,28,10,15
2,F,28,15,17.5
3,F,28,17.5,20
4,F,28,20,22.5
5,F,28,21,25
6,F,28,22,26.667
7,F,28,23,28.333
8,F,28,24,30
9,F,28,25,31.25
10,F,28,26,32.5
11,F,28,27,33.75
12,F,28,28,35
13,F,28,29,36.667
14,F,28,30,38.333
15,F,28,31.25,40
16,F,28,32.5,41.25
17,F,28,33.75,42.5
18,F,28,35,43.75
19,F,28,36.25,45
20,F,28,37.5,46.667
21,F,28,38.75,48.333
22,F,28,40,50
23,F,28,42.5,52.5
24,F,28,45,55
25,F,28,47.5,56.667
26,F,28,50,58.333
27,F,28,52.5,60
28,F,28,55,62.5
29,F,28,57.5,65
30,F,28,60,67.5
31,F,28,65,70
32,F,28,67.5,75
33,F,28,70,77.5
34,F,28,75,80
35,F,28,80,85
36,F,28,85,90
37,F,28,99,99
0,F,29,5,10
1,F,29,10,15
2,F,29,11.667,16.667
3,F,29,13.333,18.333
4,F,29,15,20
5,F,29,16.667,21
6,F,29,18.333,22
7,F,29,20,23
8,F,29,20.625,24
9,F,29,21.25,25
10,F,29,21.875,26.25
11,F,29,22.5,27.5
12,F,29,23.125,28.75
13,F,29,23.75,30
14,F,29,24.375,31
15,F,29,25,32
16,F,29,25.833,33
17,F,29,26.667,34
18,F,29,27.5,35
19,F,29,28.333,36.25
20,F,29,29.167,37.5
21,F,29,30,38.75
22,F,29,31.25,40
23,F,29,32.5,41.25
24,F,29,33.75,42.5
25,F,29,35,43.75
26,F,29,36.25,45
27,F,29,37.5,47.5
28,F,29,38.75,50
29,F,29,40,52.5
30,F,29,45,55
31,F,29,50,60
32,F,29,55,62.5
33,F,29,57.5,65
34,F,29,65,70
35,F,29,67.5,75
36,F,29,80,85
37,F,29,99,99
0,M,16,85,85
1,M,16,90,90
2,M,16,91.667,91.667
3,M,16,93.333,93.333
4,M,16,95,95
5,M,16,95.625,95.5
6,M,16,96.25,96
7,M,16,96.875,96.5
8,M,16,97.5,97
9,M,16,98.125,97.5
10,M,16,98.75,98
11,M,16,99.375,98.5
12,M,16,>99,99
13,M,16,>99,99.5
14,M,16,>99,>99
15,M,16,>99,>99
16,M,16,>99,>99
17,M,16,>99,>99
18,M,16,>99,>99
19,M,16,>99,>99
20,M,16,>99,>99
21,M,16,>99,>99
22,M,16,>99,>99
23,M,16,>99,>99
24,M,16,>99,>99
25,M,16,>99,>99
26,M,16,>99,>99
27,M,16,>99,>99
28,M,16,>99,>99
29,M,16,>99,>99
30,M,16,>99,>99
31,M,16,>99,>99
32,M,16,>99,>99
33,M,16,>99,>99
34,M,16,>99,>99
35,M,16,>99,>99
36,M,16,>99,>99
37,M,16,>99,>99
0,M,17,85,85
1,M,17,90,90
2,M,17,91.25,91.25
3,M,17,92.5,92.5
4,M,17,93.75,93.75
5,M,17,95,95
6,M,17,95.5,95.385
7,M,17,96,95.769
8,M,17,96.5,96.154
9,M,17,97,96.538
10,M,17,97.5,96.923
11,M,17,98,97.308
12,M,17,98.5,97.692
13,M,17,99,98.077
14,M,17,99.5,98.462
15,M,17,>99,98.846
16,M,17,>99,99.231
17,M,17,>99,99.615
18,M,17,>99,>99
19,M,17,>99,>99
20,M,17,>99,>99
21,M,17,>99,>99
22,M,17,>99,>99
23,M,17,>99,>99
24,M,17,>99,>99
25,M,17,>99,>99
26,M,17,>99,>99
27,M,17,>99,>99
28,M,17,>99,>99
29,M,17,>99,>99
30,M,17,>99,>99
31,M,17,>99,>99
32,M,17,>99,>99
33,M,17,>99,>99
34,M,17,>99,>99
35,M,17,>99,>99
36,M,17,>99,>99
37,M,17,>99,>99
0,M,18,85,80
1,M,18,87.5,85
2,M,18,90,90
3,M,18,90.833,90.833
4,M,18,91.667,91.667
5,M,18,92.5,92.5
6,M,18,93.333,93.333
7,M,18,94.167,94.167
8,M,18,95,95
9,M,18,95.5,95.385
10,M,18,96,95.769
11,M,18,96.5,96.154
12,M,18,97,96.538
13,M,18,97.5,96.923
14,M,18,98,97.308
15,M,18,98.5,97.692
16,M,18,99,98.077
17,M,18,99.5,98.462
18,M,18,>99,98.846
19,M,18,>99,99.231
20,M,18,>99,99.615
21,M,18,>99,>99
22,M,18,>99,>99
23,M,18,>99,>99
24,M,18,>99,>99
25,M,18,>99,>99
26,M,18,>99,>99
27,M,18,>99,>99
28,M,18,>99,>99
29,M,18,>99,>99
30,M,18,>99,>99
31,M,18,>99,>99
32,M,18,>99,>99
33,M,18,>99,>99
34,M,18,>99,>99
35,M,18,>99,>99
36,M,18,>99,>99
37,M,18,>99,>99
0,M,19,80,75
1,M,19,85,85
2,M,19,87.5,87.5
3,M,19,90,90
4,M,19,90.625,90.625
5,M,19,91.25,91.25
6,M,19,91.875,91.875
7,M,19,92.5,92.5
8,M,19,93.125,93.125
9,M,19,93.75,93.75
10,M,19,94.375,94.375
11,M,19,95,95
12,M,19,95.455,95.385
13,M,19,95.909,95.769
14,M,19,96.364,96.154
15,M,19,96.818,96.538
16,M,19,97.273,96.923
17,M,19,97.727,97.308
18,M,19,98.182,97.692
19,M,19,98.636,98.077
20,M,19,99.091,98.462
21,M,19,99.545,98.846
22,M,19,>99,99.231
23,M,19,>99,99.615
24,M,19,>99,>99
25,M,19,>99,>99
26,M,19,>99,>99
27,M,19,>99,>99
28,M,19,>99,>99
29,M,19,>99,>99
30,M,19,>99,>99
31,M,19,>99,>99
32,M,19,>99,>99
33,M,19,>99,>99
34,M,19,>99,>99
35,M,19,>99,>99
36,M,19,>99,>99
37,M,19,>99,>99
0,M,20,70,65
1,M,20,85,80
2,M,20,86.667,85
3,M,20,88.333,86.667
4,M,20,90,88.333
5,M,20,90.5,90
6,M,20,91,90.5
7,M,20,91.5,91
8,M,20,92,91.5
9,M,20,92.5,92
10,M,20,93,92.5
11,M,20,93.5,93
12,M,20,94,93.5
13,M,20,94.5,94
14,M,20,95,94.5
15,M,20,95.455,95
16,M,20,95.909,95.417
17,M,20,96.364,95.833
18,M,20,96.818,96.25
19,M,20,97.273,96.667
20,M,20,97.727,97.083
21,M,20,98.182,97.5
22,M,20,98.636,97.917
23,M,20,99.091,98.333
24,M,20,99.545,98.75
25,M,20,>99,99.167
26,M,20,>99,99.583
27,M,20,>99,>99
28,M,20,>99,>99
29,M,20,>99,>99
30,M,20,>99,>99
31,M,20,>99,>99
32,M,20,>99,>99
33,M,20,>99,>99
34,M,20,>99,>99
35,M,20,>99,>99
36,M,20,>99,>99
37,M,20,>99,>99
0,M,21,60,55
1,M,21,80,75
2,M,21,82.5,77.5
3,M,21,85,80
4,M,21,86.25,85
5,M,21,87.5,86.25
6,M,21,88.75,87.5
7,M,21,90,88.75
8,M,21,90.455,90
9,M,21,90.909,90.417
10,M,21,91.364,90.833
11,M,21,91.818,91.25
12,M,21,92.273,91.667
13,M,21,92.727,92.083
14,M,21,93.182,92.5
15,M,21,93.636,92.917
16,M,21,94.091,93.333
17,M,21,94.545,93.75
18,M,21,95,94.167
19,M,21,95.5,94.583
20,M,21,96,95
21,M,21,96.5,95.5
22,M,21,97,96
23,M,21,97.5,96.5
24,M,21,98,97
25,M,21,98.5,97.5
26,M,21,99,98
27,M,21,99.5,98.5
28,M,21,>99,99
29,M,21,>99,99.5
30,M,21,>99,>99
31,M,21,>99,>99
32,M,21,>99,>99
33,M,21,>99,>99
34,M,21,>99,>99
35,M,21,>99,>99
36,M,21,>99,>99
37,M,21,>99,>99
0,M,22,55,45
1,M,22,65,60
2,M,22,80,70
3,M,22,81.667,75
4,M,22,83.333,77.5
5,M,22,85,80
6,M,22,86,85
7,M,22,87,85.714
8,M,22,88,86.429
9,M,22,89,87.143
10,M,22,90,87.857
11,M,22,90.417,88.571
12,M,22,90.833,89.286
13,M,22,91.25,90
14,M,22,91.667,90.455
15,M,22,92.083,90.909
16,M,22,92.5,91.364
17,M,22,92.917,91.818
18,M,22,93.333,92.273
19,M,22,93.75,92.727
20,M,22,94.167,93.182
21,M,22,94.583,93.636
22,M,22,95,94.091
23,M,22,95.556,94.545
24,M,22,96.111,95
25,M,22,96.667,95.625
26,M,22,97.222,96.25
27,M,22,97.778,96.875
28,M,22,98.333,97.5
29,M,22,98.889,98.125
30,M,22,99.444,98.75
31,M,22,>99,99.375
32,M,22,>99,>99
33,M,22,>99,>99
34,M,22,>99,>99
35,M,22,>99,>99
36,M,22,>99,>99
37,M,22,>99,>99
0,M,23,40,35
1,M,23,55,50
2,M,23,65,55
3,M,23,70,65
4,M,23,75,70
5,M,23,80,75
6,M,23,81.667,76.667
7,M,23,83.333,78.333
8,M,23,85,80
9,M,23,85.833,81.667
10,M,23,86.667,83.333
11,M,23,87.5,85
12,M,23,88.333,85.714
13,M,23,89.167,86.429
14,M,23,90,87.143
15,M,23,90.417,87.857
16,M,23,90.833,88.571
17,M,23,91.25,89.286
18,M,23,91.667,90
19,M,23,92.083,90.5
20,M,23,92.5,91
21,M,23,92.917,91.5
22,M,23,93.333,92
23,M,23,93.75,92.5
24,M,23,94.167,93
25,M,23,94.583,93.5
26,M,23,95,94
27,M,23,95.714,94.5
28,M,23,96.429,95
29,M,23,97.143,95.833
30,M,23,97.857,96.667
31,M,23,98.571,97.5
32,M,23,99.286,98.333
33,M,23,>99,99.167
34,M,23,>99,>99
35,M,23,>99,>99
36,M,23,>99,>99
37,M,23,>99,>99
0,M,24,35,25
1,M,24,45,40
2,M,24,55,50
3,M,24,60,52.5
4,M,24,65,55
5,M,24,70,60
6,M,24,72.5,65
7,M,24,75,67.5
8,M,24,80,70
9,M,24,81,75
10,M,24,82,76.25
11,M,24,83,77.5
12,M,24,84,78.75
13,M,24,85,80
14,M,24,85.833,81.25
15,M,24,86.667,82.5
16,M,24,87.5,83.75
17,M,24,88.333,85
18,M,24,89.167,85.714
19,M,24,90,86.429
20,M,24,90.5,87.143
21,M,24,91,87.857
22,M,24,91.5,88.571
23,M,24,92,89.286
24,M,24,92.5,90
25,M,24,93,90.714
26,M,24,93.5,91.429
27,M,24,94,92.143
28,M,24,94.5,92.857
29,M,24,95,93.571
30,M,24,96,94.286
31,M,24,97,95
32,M,24,98,96.25
33,M,24,99,97.5
34,M,24,>99,98.75
35,M,24,>99,99
36,M,24,>99,>99
37,M,24,>99,>99
0,M,25,25,20
1,M,25,35,30
2,M,25,45,35
3,M,25,50,40
4,M,25,55,45
5,M,25,57.5,50
6,M,25,60,52.5
7,M,25,62.5,55
8,M,25,65,57.5
9,M,25,70,60
10,M,25,72.5,62.5
11,M,25,75,65
12,M,25,76.667,67.5
13,M,25,78.333,70
14,M,25,80,72.5
15,M,25,81,75
16,M,25,82,76.25
17,M,25,83,77.5
18,M,25,84,78.75
19,M,25,85,80
20,M,25,86,81.25
21,M,25,87,82.5
22,M,25,88,83.75
23,M,25,89,85
24,M,25,90,85.833
25,M,25,90.714,86.667
26,M,25,91.429,87.5
27,M,25,92.143,88.333
28,M,25,92.857,89.167
29,M,25,93.571,90
30,M,25,94.286,91
31,M,25,95,92
32,M,25,96.25,93
33,M,25,97.5,94
34,M,25,98.75,95
35,M,25,>99,97.5
36,M,25,>99,99
37,M,25,>99,>99
0,M,26,20,15
1,M,26,30,20
2,M,26,35,30
3,M,26,40,32.5
4,M,26,45,35
5,M,26,47.5,40
6,M,26,50,42.5
7,M,26,55,45
8,M,26,56.667,47.5
9,M,26,58.333,50
10,M,26,60,52.5
11,M,26,62.5,55
12,M,26,65,56.25
13,M,26,66.667,57.5
14,M,26,68.333,58.75
15,M,26,70,60
16,M,26,72.5,62.5
17,M,26,75,65
18,M,26,76.667,67.5
19,M,26,78.333,70
20,M,26,80,71.667
21,M,26,81,73.333
22,M,26,82,75
23,M,26,83,76.25
24,M,26,84,77.5
25,M,26,85,78.75
26,M,26,86.667,80
27,M,26,88.333,82.5
28,M,26,90,85
29,M,26,91,86.25
30,M,26,92,87.5
31,M,26,93,88.75
32,M,26,94,90
33,M,26,95,91.667
34,M,26,96.667,93.333
35,M,26,98.333,95
36,M,26,99,99
37,M,26,>99,>99
0,M,27,15,10
1,M,27,25,20
2,M,27,27.5,22.5
3,M,27,35,25
4,M,27,36.667,30
5,M,27,38.333,31.667
6,M,27,40,33.333
7,M,27,45,35
8,M,27,46.667,37.5
9,M,27,48.333,40
10,M,27,50,41.667
11,M,27,52.5,43.333
12,M,27,55,45
13,M,27,56.25,46.667
14,M,27,57.5,48.333
15,M,27,58.75,50
16,M,27,60,51.667
17,M,27,62.5,53.333
18,M,27,65,55
19,M,27,66.667,56.667
20,M,27,68.333,58.333
21,M,27,70,60
22,M,27,71.667,62.5
23,M,27,73.333,65
24,M,27,75,66.667
25,M,27,77.5,68.333
26,M,27,80,70
27,M,27,81.25,72.5
28,M,27,82.5,75
29,M,27,83.75,77.5
30,M,27,85,80
31,M,27,90,82.5
32,M,27,91.25,85
33,M,27,92.5,86.667
34,M,27,93.75,88.333
35,M,27,95,90
36,M,27,97.5,95
37,M,27,99,99
0,M,28,15,10
1,M,28,20,15
2,M,28,25,17.5
3,M,28,26.667,20
4,M,28,28.333,22.5
5,M,28,30,25
6,M,28,35,26.667
7,M,28,36.25,28.333
8,M,28,37.5,30
9,M,28,38.75,31.25
10,M,28,40,32.5
11,M,28,41.667,33.75
12,M,28,43.333,35
13,M,28,45,36.667
14,M,28,46.667,38.333
15,M,28,48.333,40
16,M,28,50,41.25
17,M,28,52.5,42.5
18,M,28,55,43.75
19,M,28,56.25,45
20,M,28,57.5,46.667
21,M,28,58.75,48.333
22,M,28,60,50
23,M,28,62.5,52.5
24,M,28,65,55
25,M,28,66.667,56.667
26,M,28,68.333,58.333
27,M,28,70,60
28,M,28,72.5,62.5
29,M,28,75,65
30,M,28,77.5,67.5
31,M,28,80,70
32,M,28,82.5,75
33,M,28,85,77.5
34,M,28,90,80
35,M,28,92.5,85
36,M,28,95,90
37,M,28,99,99
0,M,29,10,10
1,M,29,15,15
2,M,29,20,16.667
3,M,29,25,18.333
4,M,29,26,20
5,M,29,27,21
6,M,29,28,22
7,M,29,29,23
8,M,29,30,24
9,M,29,32.5,25
10,M,29,35,26.25
11,M,29,36,27.5
12,M,29,37,28.75
13,M,29,38,30
14,M,29,39,31
15,M,29,40,32
16,M,29,41.25,33
17,M,29,42.5,34
18,M,29,43.75,35
19,M,29,45,36.25
20,M,29,46.25,37.5
21,M,29,47.5,38.75
22,M,29,48.75,40
23,M,29,50,41.25
24,M,29,52.5,42.5
25,M,29,55,43.75
26,M,29,56.667,45
27,M,29,58.333,47.5
28,M,29,60,50
29,M,29,65,52.5
30,M,29,67.5,55
31,M,29,70,60
32,M,29,72.5,62.5
33,M,29,75,65
34,M,29,80,70
35,M,29,90,75
36,M,29,92.5,85
37,M,29,99,99
9999,M,16,9999,9999
9999,M,17,9999,9999
9999,M,18,9999,9999
9999,M,19,9999,9999
9999,M,20,9999,9999
9999,M,21,9999,9999
9999,M,22,9999,9999
9999,M,23,9999,9999
9999,M,24,9999,9999
9999,M,25,9999,9999
9999,M,26,9999,9999
9999,M,27,9999,9999
9999,M,28,9999,9999
9999,M,29,9999,9999
9999,F,16,9999,9999
9999,F,17,9999,9999
9999,F,18,9999,9999
9999,F,19,9999,9999
9999,F,20,9999,9999
9999,F,21,9999,9999
9999,F,22,9999,9999
9999,F,23,9999,9999
9999,F,24,9999,9999
9999,F,25,9999,9999
9999,F,26,9999,9999
9999,F,27,9999,9999
9999,F,28,9999,9999
9999,F,29,9999,9999
